,id,AreaHa,PrimaryUse,geometry,lon,lat,nodes
106,106,2.9468,Canal,POINT (536497.8686666016 183768.41839845022),-0.03330487827884295,51.53632517612865,433182244
107,107,2.9468,Canal,POINT (536704.8573033432 183924.4224499497),-0.03026178748923151,51.53767706685303,432426343
108,108,2.9468,Canal,POINT (536875.9522747885 184069.0811740328),-0.027740156902040465,51.538935614552905,433168059
109,109,2.9468,Canal,POINT (536959.5437503959 184155.80403395806),-0.026501879767919113,51.539694683815846,61101767
110,110,2.9468,Canal,POINT (536989.7740265594 184180.75035671532),-0.026056550675365317,51.539911533852255,250672816
111,111,2.9468,Canal,POINT (536385.8020084529 183676.20596127512),-0.03495537691792564,51.535523570213144,5946887128
112,112,2.9468,Canal,POINT (536221.1653583515 183546.86175855537),-0.037377654471202,51.53440093642,9448666958
113,113,2.9468,Canal,POINT (536126.5806158815 183467.94106424096),-0.038770994898397554,51.53371451405765,9448666946
114,114,2.9468,Canal,POINT (535912.8016719293 183298.46549154999),-0.04191663084359547,51.53224300132102,7631770663
115,115,2.9468,Canal,POINT (537276.2927273836 184384.9391515121),-0.02184813831962158,51.541676928953834,7282993219
116,116,2.9468,Canal,POINT (537171.1253854797 184304.1055155864),-0.023395175456151815,51.54097606487014,6239727101
117,117,2.9468,Canal,POINT (537254.6906504052 184369.06526642543),-0.022165629547262016,51.54153952732069,7282993219
118,118,2.9468,Canal,POINT (537192.1770777307 184320.9691836964),-0.023085237732253246,51.54112249773793,7282993219
119,119,2.9468,Canal,POINT (537092.6416502596 184247.97469452146),-0.02454802733025799,51.54049069569491,6239727101
120,120,2.9468,Canal,POINT (536991.0970987887 184163.79480018848),-0.026044078886798782,51.53975884793748,484773268
121,121,2.9468,Canal,POINT (536923.3625643987 184115.94343265225),-0.027038755955231784,51.539345250608314,238732
122,122,83.5095,Canal,POINT (543650.6566744983 180645.49596867562),0.06848291317312358,51.50648999500847,21641645
123,123,83.5095,Canal,POINT (543840.7485510955 180619.2167914272),0.07120930266404872,51.50620554429647,8148782961
124,124,83.5095,Canal,POINT (542468.9494637211 180702.60572936412),0.05149067577787864,51.50730203599131,1209899101
125,125,83.5095,Canal,POINT (543423.8992611235 180687.03073153933),0.0652347483692243,51.506920762895305,1431403037
126,126,83.5095,Canal,POINT (541693.6311954855 180630.07392502108),0.04029748665072066,51.50684506717354,892856379
127,127,83.5095,Canal,POINT (541931.0882248628 180714.44391118482),0.04375063243464296,51.50754364952918,442716360
128,128,83.5095,Canal,POINT (541658.0738838498 180612.60298453353),0.03977847025894292,51.50669698491509,892856379
129,129,83.5095,Canal,POINT (541502.8810182234 180476.7507790202),0.03748929668394647,51.50551509498714,104696375
130,130,83.5095,Canal,POINT (540669.9564852706 180461.11195960786),0.025489890009468805,51.50558239026666,1244790642
131,131,83.5095,Canal,POINT (540629.7380682516 180457.14127203467),0.024909206485847653,51.505556714602214,244886939
132,132,83.5095,Canal,POINT (540514.6178177969 180446.48707743105),0.023247358382034435,51.5054895977806,244886930
133,133,83.5095,Canal,POINT (540385.8907708615 180436.6084965079),0.021389901232680513,51.50543280541251,244886920
134,134,83.5095,Canal,POINT (540130.2876853066 180478.62896957088),0.01772620672599768,51.50587381104292,282839067
135,135,83.5095,Canal,POINT (542703.5050520514 180697.08151652807),0.05486584380815249,51.507193273103404,104700307
136,136,83.5095,Canal,POINT (541619.3332988541 180572.77237836193),0.03920463943738848,51.506348777446384,104696375
137,137,83.5095,Canal,POINT (542501.4596449914 180304.79511397463),0.051798073990716585,51.50371920701213,251754387
138,138,83.5095,Canal,POINT (542514.4713645764 180304.9061575132),0.05198546290226418,51.5037169269082,251754387
139,139,83.5095,Canal,POINT (542458.2073340209 180306.13680386156),0.051175864469596606,51.503742157136344,9939270251
140,140,83.5095,Canal,POINT (542403.9379015727 180303.02111443077),0.050393228835297926,51.50372782440325,9939270251
141,141,83.5095,Canal,POINT (543969.6280063742 180616.44173701506),0.07306387141002878,51.50614781701435,2466723779
142,142,83.5095,Canal,POINT (540454.9560595455 180441.29362064536),0.022386228078221694,51.50545775340286,244886930
143,143,83.5095,Canal,POINT (541261.1963488708 180310.58873319183),0.033942738048592325,51.50408241073198,461970796
144,144,83.5095,Canal,POINT (541157.039483288 180469.3974555722),0.03250662821561929,51.50553545138217,618740003
145,145,83.5095,Canal,POINT (541008.8363391808 180468.02868805066),0.030372128576254903,51.50556012991487,618740003
146,146,83.5095,Canal,POINT (540951.0996599678 180483.3767717881),0.029546925454504047,51.505712442475584,11016323873
147,147,83.5095,Canal,POINT (540862.6498529434 180482.12304564068),0.028272846772417964,51.505723219922416,11016323873
148,148,83.5095,Canal,POINT (540824.5394129645 180470.23730284325),0.027719350900212204,51.50562590912841,11016323873
149,149,83.5095,Canal,POINT (540701.6521847867 180463.44628373193),0.025947203547632244,51.50559547971007,1244790642
150,150,83.5095,Canal,POINT (540948.6041192686 180205.75129251435),0.029399997732497057,51.503218350001006,282843656
151,151,0.5731,Canal,POINT (546933.7549051853 180383.68405860354),0.11564640376097125,51.50329390279481,10696043070
152,152,0.5731,Canal,POINT (546675.132436102 180345.82655717587),0.11190709749661303,51.50302086974779,94956845
153,153,0.2309,Canal,POINT (533898.2352457612 183639.35995073518),-0.07081368880406108,51.53578753145678,12244358262
154,154,5.8114,Canal,POINT (529155.4143864511 184093.04765280578),-0.13899123840609873,51.540969418299994,25814559
155,155,5.8114,Canal,POINT (529000.426408766 184089.60950171333),-0.14122613255031513,51.54097392411228,7923627799
156,156,5.8114,Canal,POINT (528479.2389071486 183992.38344167016),-0.14877281285283803,51.54021890284093,1262613248
157,157,5.8114,Canal,POINT (528741.3693306611 184139.28857286583),-0.14494142103281718,51.54147946790401,6638904940
158,158,5.8114,Canal,POINT (529230.5745774561 184061.6682451189),-0.13791957189801052,51.5406702308444,2592856889
159,159,5.8114,Canal,POINT (529077.6637725282 184102.47079749274),-0.14010829957534746,51.54107186914604,434557525
160,160,5.8114,Canal,POINT (528615.0989648022 184032.98334832452),-0.14680004003400213,51.540552865351934,265650047
161,161,5.8114,Canal,POINT (528342.9226323228 183867.6274123795),-0.1507828025825043,51.53912870321786,15415846
162,162,5.8114,Canal,POINT (528793.409224835 184135.23124829028),-0.14419291371905188,51.54143114592686,260283879
163,163,5.8114,Canal,POINT (528270.1799791631 183680.79869065038),-0.1518991555980636,51.537466197091646,101839
164,164,5.8114,Canal,POINT (529331.9904774769 184051.0363470343),-0.13646191743457517,51.54055148039929,183313929
165,165,5.8114,Canal,POINT (529286.4364443627 184074.7282792059),-0.1371097216149952,51.54077482150816,2592856889
166,166,5.8114,Canal,POINT (529740.4744272275 183714.1194073776),-0.13069917340434942,51.53743001841208,199231017
167,167,5.8114,Canal,POINT (529401.4083809295 184004.0362233456),-0.13547877165479685,51.54011320365091,1247328850
168,168,5.8114,Canal,POINT (529386.1211473349 184016.91911397295),-0.13569434829458524,51.54023248113086,1247328850
169,169,5.8114,Canal,POINT (529783.0623358794 183698.4015660841),-0.13009125272470085,51.53727898604193,87544185
170,170,5.8114,Canal,POINT (529990.5725961463 183487.20439057573),-0.12717888400719635,51.53533330127294,2213538538
171,171,5.8114,Canal,POINT (530209.4931613515 183482.90402641447),-0.12402587921045631,51.53524426226598,168064
